match_id,direction,g14,g17,res
2008282,down,deep,deep,B
2008283,down,deep,deep,B
2016586,up,deep,shallow,A
2016587,down,deep,shallow,B
2016625,down,deep,shallow,A
2016626,up,deep,deep,A
2016650,down,shallow,deep,B
2016660,down,deep,deep,B
2016661,down,,shallow,B
2016669,up,deep,shallow,A
2016688,down,deep,deep,B
2016692,down,deep,deep,B
2016693,down,shallow,deep,B
2016712,down,deep,shallow,A
2016716,down,,deep,B
2016717,down,shallow,deep,B
2016718,down,deep,deep,B
2016729,down,deep,deep,B
2022588,up,deep,deep,A
2024630,down,shallow,deep,B
2024640,down,deep,deep,A
2024643,down,deep,deep,A
2024647,down,deep,shallow,B
2024649,down,shallow,deep,B
2024650,down,deep,deep,A
2024651,down,deep,deep,A
2024659,down,deep,shallow,B
2024660,down,deep,deep,A
2024661,down,deep,deep,A
2024664,down,deep,shallow,P
2024669,down,deep,shallow,A
2024671,down,shallow,shallow,A
2024673,down,deep,shallow,B
2024677,down,deep,shallow,A
2024683,down,deep,deep,B
2024687,down,shallow,deep,B
2024691,down,deep,shallow,B
2024694,down,deep,shallow,A
2024698,up,shallow,deep,A
2024699,down,shallow,shallow,B
2024700,down,deep,shallow,A
2024703,down,deep,deep,B
2024706,down,deep,shallow,B
2024720,down,shallow,deep,B
2024721,down,shallow,shallow,A
2024723,down,deep,deep,B
2024727,down,shallow,deep,B
2024729,down,,shallow,B
2024738,down,deep,shallow,B
2024739,down,deep,deep,B
2024740,down,shallow,shallow,B
2024742,up,deep,deep,A
2024749,down,deep,deep,B
2025214,down,shallow,deep,A
2025215,down,shallow,shallow,A
2025225,up,deep,deep,A
2025234,down,deep,shallow,A
2025236,down,shallow,shallow,B
2025237,down,shallow,deep,B
2025241,up,deep,shallow,A
2025242,down,shallow,deep,B
2025243,down,shallow,deep,A
2025244,down,deep,deep,B
2025249,down,shallow,deep,B
2025261,down,deep,shallow,B
2025262,down,shallow,shallow,B
2025268,down,shallow,,A
2025275,down,deep,deep,B
2025294,down,shallow,deep,A
2025300,down,deep,deep,B
2025309,down,shallow,shallow,P
2025310,down,deep,deep,B
2025311,down,shallow,deep,B
2025316,down,deep,shallow,B
2025324,down,deep,deep,A
2025342,down,deep,deep,A
2025343,down,shallow,shallow,P
2025344,down,deep,deep,B
2025347,down,shallow,deep,B
2025350,down,deep,deep,B
2025356,down,,deep,A
2025358,down,deep,deep,B
2025363,down,deep,shallow,A
2025367,down,shallow,deep,A
2025375,up,deep,,A
2025377,down,deep,shallow,B
2025379,down,deep,shallow,A
2025386,down,deep,shallow,B
2025389,down,shallow,deep,A
2025392,down,shallow,deep,B
2025402,down,shallow,,A
2025423,up,shallow,deep,A
2025429,down,deep,,A
2025433,down,shallow,shallow,B
2025440,down,shallow,deep,B
2025441,up,shallow,shallow,A
2025442,down,shallow,deep,B
2025446,down,deep,deep,B
2025449,up,shallow,deep,B
2025454,down,deep,deep,A
2025470,up,shallow,deep,B
2025476,down,shallow,deep,B
2025483,down,,deep,A
2025486,down,shallow,deep,B
2025489,down,shallow,deep,A
2025490,down,deep,shallow,B
2025492,down,shallow,shallow,B
2025497,down,deep,deep,B
2025859,down,deep,shallow,A
2025864,down,shallow,shallow,B
2025871,down,deep,shallow,B
2025875,down,shallow,deep,B
2025882,down,deep,deep,A
2025888,down,deep,shallow,B
2025890,down,shallow,deep,A
2025895,down,,deep,B
2025896,down,shallow,shallow,A
2025897,down,shallow,shallow,B
2025901,down,shallow,shallow,A
2025902,down,shallow,deep,B
2025906,down,deep,shallow,A
2025912,down,deep,deep,A
2025913,down,deep,deep,B
2025915,down,deep,deep,B
2025925,down,shallow,deep,B
2025934,down,deep,shallow,B
2025936,down,shallow,shallow,A
2025941,down,,deep,B
2025950,down,shallow,deep,B
2025953,down,shallow,shallow,B
2025955,down,shallow,deep,A
2025963,down,deep,deep,A
2025971,down,deep,deep,B
2025980,up,shallow,shallow,P
2025990,up,deep,shallow,A
2025991,down,deep,deep,A
2025993,down,deep,shallow,B
2026002,down,deep,shallow,B
2026006,down,shallow,shallow,A
2026014,down,deep,deep,B
2026016,down,shallow,shallow,A
2026021,down,deep,shallow,B
2026024,down,,shallow,B
2026027,down,deep,deep,P
2026033,down,deep,deep,B
2026042,down,deep,shallow,B
2026043,down,shallow,deep,B
2026045,down,shallow,shallow,B
2026047,down,deep,deep,B
2026049,down,shallow,shallow,B
2026051,down,shallow,deep,B
2026074,down,shallow,shallow,B
2026080,down,shallow,deep,A
2026091,down,shallow,deep,A
2026093,up,shallow,shallow,A
2026095,down,deep,shallow,B
2026096,down,deep,shallow,B
2026100,down,shallow,shallow,B
2026101,down,shallow,deep,B
2026104,down,deep,,A
2026107,down,shallow,shallow,B
2026110,down,deep,deep,B
2026115,down,deep,shallow,B
2026124,down,deep,shallow,B
2026126,down,deep,deep,A
2026128,up,shallow,shallow,A
2026129,down,deep,deep,A
2026143,down,shallow,deep,B
2026148,down,deep,shallow,B
2026161,down,deep,deep,B
2026163,down,deep,deep,B
2026165,down,deep,shallow,B
2026166,down,shallow,shallow,B
2026173,down,deep,shallow,A
2026177,down,shallow,shallow,A
2026178,down,shallow,shallow,A
2026188,up,,deep,A
2026196,up,deep,deep,A
2026197,down,shallow,shallow,A
2026206,down,deep,deep,B
2026208,down,shallow,deep,B
2026216,down,deep,shallow,B
2026217,down,deep,deep,B
2027473,up,deep,shallow,A
2027478,down,deep,shallow,A
2027479,up,deep,deep,A
2027491,up,,deep,B
2027498,down,deep,deep,B
2027500,up,deep,shallow,A
2027501,down,shallow,shallow,B
2027507,down,deep,shallow,B
2027508,down,shallow,deep,B
2027513,down,deep,deep,A
2027516,down,deep,deep,A
2027517,up,deep,deep,A
2027518,down,shallow,deep,A
2027525,down,deep,deep,B
2027535,down,deep,,B
2027539,down,deep,shallow,A
2027541,up,shallow,deep,B
2027543,down,deep,shallow,B
2027544,down,shallow,shallow,A
2027546,up,deep,deep,A
2027554,up,deep,shallow,A
2027565,down,deep,shallow,B
2027568,down,deep,deep,B
2027571,down,,deep,B
2027578,down,shallow,shallow,B
2027585,down,deep,shallow,B
2027586,down,deep,deep,A
2027594,down,shallow,shallow,A
2027596,down,deep,deep,B
2027598,down,deep,shallow,B
2027600,up,deep,shallow,A
2027605,down,,deep,B
2027611,down,shallow,deep,A
2027618,down,deep,shallow,A
2027624,down,deep,shallow,B
2027638,down,shallow,deep,B
2027640,down,shallow,deep,B
2027645,down,deep,shallow,B
2027650,down,deep,shallow,B
2027654,down,shallow,shallow,B
2027657,up,shallow,,A
2027662,down,deep,deep,A
2027666,down,shallow,shallow,B
2027674,down,shallow,shallow,B
2027675,down,shallow,shallow,B
2027685,down,deep,deep,B
2027693,down,shallow,deep,B
2027707,down,deep,deep,A
2027708,up,shallow,deep,P
2027710,down,deep,deep,A
2027717,up,shallow,deep,A
2027722,up,deep,deep,A
2027725,down,deep,deep,B
2027730,down,shallow,deep,A
2027739,up,deep,deep,B
2027743,down,deep,deep,B
2027744,down,deep,deep,A
2027745,up,shallow,shallow,A
2027755,up,deep,shallow,A
2027811,down,deep,deep,B
2027816,down,deep,shallow,B
2027819,down,shallow,deep,B
2027822,down,shallow,deep,B
2027833,down,deep,deep,B
2027835,down,shallow,shallow,A
2027855,down,deep,deep,A
2027857,up,deep,deep,A
2027858,down,deep,shallow,B
2027860,down,shallow,deep,B
2027863,down,shallow,deep,A
2027868,down,shallow,deep,B
2027873,down,deep,deep,A
2027877,down,shallow,shallow,B
2027882,down,shallow,shallow,B
2027883,down,deep,shallow,A
2027898,down,deep,deep,A
2027903,down,deep,deep,P
2027904,down,deep,shallow,B
2027908,down,deep,deep,A
2027917,down,deep,deep,B
2027919,down,deep,shallow,B
2027932,down,deep,shallow,B
2027933,down,deep,deep,A
2027952,down,deep,deep,B
2027961,down,shallow,shallow,B
2027966,down,shallow,deep,A
2027967,down,,shallow,B
2027974,down,deep,shallow,A
2027976,down,,deep,B
2027977,down,deep,shallow,A
2027982,down,deep,shallow,B
2027986,down,shallow,deep,A
2028010,up,deep,shallow,A
2028012,up,deep,shallow,A
2028017,down,deep,shallow,B
2028023,down,shallow,shallow,B
2028028,down,shallow,shallow,B
2028029,down,deep,deep,A
2028042,down,deep,deep,B
2028049,down,shallow,shallow,A
2028051,down,deep,shallow,B
2028052,down,shallow,deep,A
2028056,down,shallow,shallow,B
2028067,down,deep,deep,B
2028087,down,shallow,shallow,A
2028104,up,shallow,shallow,B
2028112,down,,shallow,B
2028114,down,,,B
2028116,down,deep,shallow,B
2028123,down,shallow,shallow,B
2028132,up,deep,deep,A
2028135,down,shallow,deep,B
2028144,down,deep,shallow,B
2028151,down,shallow,shallow,B
2028152,down,deep,deep,B
2028161,down,deep,deep,B
2028163,down,deep,deep,B
2028364,down,deep,shallow,A
2028383,down,deep,deep,B
2028385,down,deep,shallow,B
2028386,up,,deep,B
2028389,down,deep,deep,B
2028401,down,shallow,deep,B
2028402,down,deep,deep,B
2028407,down,deep,shallow,A
2028410,down,deep,shallow,B
2028419,down,shallow,shallow,B
2028422,down,deep,shallow,B
2028424,down,shallow,shallow,B
2028440,down,shallow,shallow,A
2028446,down,deep,shallow,B
2028448,down,deep,deep,B
2028449,down,deep,shallow,A
2028459,down,deep,deep,A
2028461,down,deep,shallow,B
2028475,down,shallow,shallow,B
2028476,down,deep,deep,B
2028477,down,shallow,shallow,B
2028480,down,shallow,shallow,A
2028486,down,deep,deep,A
2028492,down,deep,deep,B
2028499,down,shallow,shallow,B
2028504,up,shallow,deep,A
2028506,down,deep,shallow,B
2028514,down,deep,shallow,B
2028519,down,deep,shallow,B
2028520,down,deep,shallow,B
2028524,down,shallow,deep,B
2028529,down,deep,deep,B
2028541,up,deep,deep,P
2028542,up,deep,shallow,A
2028548,down,,deep,A
2028570,down,shallow,deep,A
2028571,down,deep,shallow,B
2028573,down,shallow,deep,A
2028582,down,deep,shallow,B
2030458,down,shallow,shallow,B
2030474,down,deep,deep,B
2030476,down,deep,deep,B
2030494,down,shallow,shallow,B
2030496,up,deep,deep,A
2030498,down,deep,deep,B
2030503,down,deep,shallow,B
2030504,down,shallow,shallow,B
2030505,down,deep,shallow,B
2030512,down,deep,shallow,B
2030525,down,deep,shallow,B
2030526,down,shallow,deep,A
2030547,down,shallow,deep,A
2030549,down,shallow,deep,A
2030552,down,shallow,shallow,A
2030558,down,shallow,shallow,A
2030561,down,deep,deep,B
2030572,down,shallow,deep,B
2030577,down,deep,shallow,B
2030583,down,deep,deep,B
2030591,down,deep,,P
2030603,down,deep,deep,B
2030604,down,shallow,,A
2030606,down,deep,deep,B
2030611,down,shallow,deep,A
2030613,down,deep,shallow,B
2030616,down,shallow,deep,B
2030625,down,deep,deep,A
2030628,down,shallow,shallow,B
2030635,down,shallow,deep,B
2030636,down,shallow,deep,A
2030902,down,,deep,B
2032744,down,,,B
2032746,down,deep,shallow,B
2032751,down,deep,shallow,A
2032761,down,shallow,shallow,B
2032763,down,shallow,deep,B
2032765,down,deep,deep,B
2032776,down,shallow,deep,B
2032779,down,deep,deep,B
2032782,up,deep,deep,A
2032785,down,deep,deep,B
